code,name,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,signals
HK.01810,XIAOMI-W,49.4,49.0,50.0,48.25,0.0,0.0,98631800,4818787843.4,-0.40650406504065617,49.2,0.0
HK.01810,XIAOMI-W,49.0,49.6,49.75,48.65,0.0,0.0,44286600,2179801253.2,1.2244897959183703,49.0,-1.0
HK.01810,XIAOMI-W,49.65,49.35,49.9,49.35,0.0,0.0,13695800,680254659.8,-0.5040322580645161,49.6,1.0
HK.01810,XIAOMI-W,49.35,47.25,49.45,46.2,0.0,0.0,229601000,10858792801.0,-4.255319148936173,49.35,-1.0
HK.01810,XIAOMI-W,47.25,47.05,47.45,46.5,0.0,0.0,85729800,4020064922.6,-0.4232804232804293,47.25,0.0
HK.01810,XIAOMI-W,47.05,46.5,47.2,46.1,0.0,0.0,115252400,5365278895.0,-1.1689691817215668,47.05,0.0
HK.01810,XIAOMI-W,46.0,47.05,47.1,44.6,0.0,0.0,276066200,12594333675.0,1.182795698924725,46.5,0.0
HK.01810,XIAOMI-W,47.0,47.15,47.5,46.35,0.0,0.0,72306400,3397760628.4,0.21253985122210717,47.05,1.0
HK.01810,XIAOMI-W,47.15,46.1,47.15,46.05,0.0,0.0,28325200,1319760545.0,-2.2269353128313836,47.15,-1.0
HK.01810,XIAOMI-W,46.15,45.3,46.6,45.25,0.0,0.0,63893600,2922718553.2,-1.735357917570508,46.1,0.0
HK.01810,XIAOMI-W,45.25,45.1,45.4,44.9,0.0,0.0,70092000,3162960783.8,-0.44150110375275003,45.3,0.0
HK.01810,XIAOMI-W,45.05,44.55,45.25,44.4,0.0,0.0,124531600,5567485103.0,-1.2195121951219607,45.1,0.0
HK.01810,XIAOMI-W,43.8,45.8,45.8,43.45,0.0,0.0,176480061,7844076015.6,2.8058361391694726,44.55,1.0
HK.01810,XIAOMI-W,45.8,44.85,45.85,44.8,0.0,0.0,63340400,2871024456.4,-2.074235807860253,45.8,0.0
HK.01810,XIAOMI-W,44.85,45.15,45.15,44.75,0.0,0.0,13988400,629122435.0,0.6688963210702278,44.85,0.0
HK.01810,XIAOMI-W,45.15,45.95,46.2,44.5,0.0,0.0,64913800,2934869015.0,1.7718715393134095,45.15,0.0
HK.01810,XIAOMI-W,45.9,46.0,46.6,45.6,0.0,0.0,73072800,3371982957.6,0.1088139281828012,45.95,0.0
HK.01810,XIAOMI-W,46.0,45.9,46.2,45.75,0.0,0.0,55707400,2559206334.2,-0.21739130434782916,46.0,0.0
HK.01810,XIAOMI-W,40.2,41.85,43.25,40.2,0.0,0.0,301491200,12583128794.2,-8.8235294117647,45.9,-1.0
HK.01810,XIAOMI-W,41.85,40.05,41.9,40.05,0.0,0.0,105030000,4301099909.8,-4.301075268817215,41.85,0.0
HK.01810,XIAOMI-W,40.1,38.9,40.35,38.9,0.0,0.0,75775200,3008705568.0,-2.8714107365792727,40.05,0.0
HK.01810,XIAOMI-W,38.9,37.65,39.85,37.55,0.0,0.0,191097000,7377461959.0,-3.2133676092544987,38.9,0.0
HK.01810,XIAOMI-W,37.65,37.8,38.8,36.85,0.0,0.0,174717200,6611170893.8,0.3984063745019883,37.65,0.0
HK.01810,XIAOMI-W,37.8,36.45,37.9,36.05,0.0,0.0,186859200,6871971751.4,-3.5714285714285565,37.8,0.0
HK.01810,XIAOMI-W,38.55,39.15,39.85,37.55,0.0,0.0,320587400,12427868367.0,7.407407407407394,36.45,1.0
HK.01810,XIAOMI-W,39.15,38.9,39.55,38.05,0.0,0.0,94121200,3650768931.0,-0.6385696040868455,39.15,0.0
HK.01810,XIAOMI-W,38.95,38.5,38.95,38.4,0.0,0.0,13297400,513447528.4,-1.028277634961436,38.9,0.0
HK.01810,XIAOMI-W,38.5,37.9,38.7,37.45,0.0,0.0,103680000,3941174881.0,-1.558441558441562,38.5,-1.0
HK.01810,XIAOMI-W,37.85,38.7,38.8,37.55,0.0,0.0,59421800,2265979512.4,2.110817941952518,37.9,1.0
HK.01810,XIAOMI-W,38.65,38.9,39.4,38.55,0.0,0.0,116276400,4526605023.8,0.5167958656330639,38.7,0.0
HK.01810,XIAOMI-W,37.8,40.45,41.75,36.6,0.0,0.0,291259600,11496763968.4,3.984575835475589,38.9,0.0
HK.01810,XIAOMI-W,40.45,40.25,40.95,39.85,0.0,0.0,93413200,3770940241.2,-0.49443757725587845,40.45,0.0
HK.01810,XIAOMI-W,40.25,40.05,40.35,39.95,0.0,0.0,16228400,650668518.4,-0.49689440993789524,40.25,0.0
HK.01810,XIAOMI-W,40.05,41.1,41.35,39.6,0.0,0.0,93212600,3785195398.4,2.6217228464419584,40.05,0.0
HK.01810,XIAOMI-W,41.15,41.25,41.95,40.9,0.0,0.0,81841600,3396244258.8,0.36496350364963154,41.1,0.0
HK.01810,XIAOMI-W,41.25,41.9,42.4,41.1,0.0,0.0,102851600,4308301013.0,1.5757575757575724,41.25,0.0
HK.01810,XIAOMI-W,44.8,44.25,45.0,43.15,0.0,0.0,251309000,11111627295.0,5.60859188544153,41.9,0.0
HK.01810,XIAOMI-W,44.2,43.25,44.35,43.05,0.0,0.0,79922200,3488244846.8,-2.2598870056497176,44.25,0.0
HK.01810,XIAOMI-W,43.3,42.9,43.3,42.6,0.0,0.0,34597800,1485933343.8,-0.8092485549132981,43.25,-1.0
HK.01810,XIAOMI-W,42.95,43.5,43.95,42.7,0.0,0.0,52096800,2260022440.0,1.3986013986014019,42.9,1.0
HK.01810,XIAOMI-W,43.45,43.2,43.8,43.0,0.0,0.0,32428600,1408159994.0,-0.6896551724137866,43.5,0.0
HK.01810,XIAOMI-W,43.15,43.05,43.5,42.8,0.0,0.0,66989600,2889707772.2,-0.34722222222223537,43.2,0.0
HK.01810,XIAOMI-W,42.75,43.0,43.85,42.15,0.0,0.0,94190600,4054597068.6,-0.11614401858303638,43.05,-1.0
HK.01810,XIAOMI-W,42.95,43.3,43.6,42.9,0.0,0.0,30018000,1298067686.4,0.6976744186046445,43.0,0.0
HK.01810,XIAOMI-W,43.3,44.0,44.15,43.25,0.0,0.0,28596600,1251677163.6,1.6166281755196372,43.3,1.0
HK.01810,XIAOMI-W,44.0,44.95,45.45,43.95,0.0,0.0,103601000,4632179925.0,2.159090909090916,44.0,0.0
HK.01810,XIAOMI-W,44.9,44.7,45.05,44.15,0.0,0.0,44524400,1988351229.4,-0.5561735261401557,44.95,0.0
HK.01810,XIAOMI-W,44.7,44.25,44.95,44.25,0.0,0.0,55183200,2457220971.2,-1.0067114093959795,44.7,0.0
HK.01810,XIAOMI-W,45.2,44.35,45.45,44.1,0.0,0.0,130140000,5829523353.2,0.22598870056497497,44.25,0.0
HK.01810,XIAOMI-W,44.35,44.0,44.65,43.85,0.0,0.0,60526600,2676552788.4,-0.789177001127399,44.35,-1.0
HK.01810,XIAOMI-W,44.0,43.85,44.1,43.6,0.0,0.0,17169400,752172013.2,-0.34090909090908766,44.0,0.0
HK.01810,XIAOMI-W,43.85,43.15,44.0,42.25,0.0,0.0,119280200,5116382342.6,-1.5963511972634041,43.85,0.0
HK.01810,XIAOMI-W,43.1,42.85,43.25,42.7,0.0,0.0,39711000,1704508070.0,-0.6952491309385798,43.15,0.0
HK.01810,XIAOMI-W,42.85,43.2,43.25,42.75,0.0,0.0,54675000,2348899255.0,0.8168028004667477,42.85,0.0
HK.01810,XIAOMI-W,43.75,42.95,43.85,42.05,0.0,0.0,76873600,3286901226.6,-0.5787037037037037,43.2,0.0
HK.01810,XIAOMI-W,42.9,42.6,42.95,42.4,0.0,0.0,18668800,796458161.4,-0.8149010477299218,42.95,0.0
HK.01810,XIAOMI-W,42.6,42.75,42.8,42.45,0.0,0.0,4300800,183071177.8,0.3521126760563347,42.6,0.0
HK.01810,XIAOMI-W,42.8,42.6,43.05,42.6,0.0,0.0,16072600,687316190.0,-0.3508771929824528,42.75,0.0
HK.01810,XIAOMI-W,42.6,42.9,42.9,42.3,0.0,0.0,21739400,924810273.8,0.7042253521126693,42.6,1.0
HK.01810,XIAOMI-W,42.85,43.1,43.15,42.75,0.0,0.0,26810600,1152422770.0,0.4662004662004729,42.9,0.0
